"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"adaptiveModelWithBV.nlogox"
"prolifAndDrugMolecule"
"04/09/2026 00:31:10:368 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","max-drug","resource","proliferationP-DP","blood-vessel-width","drugMolecule","invasion-threshold","adaptive-burden-threshold","bolusAmount","PRO-to-DP","invasionP-DP","adaptive-therapy","cell-count","starvingThreshold","timeInterval","startTime","resourceRate","nextBolusTime","[step]","count patches with [pcolor = black]","count patches with [pcolor = orange]","proliferationP-PRO"
"2","2600","10","0.01","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","123","0","0","0.015"
"3","2600","10","0.02","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","134","0","0","0.025"
"1","2600","10","0","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","65","0","0","0.005"
"13","2600","10","0.12","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","218","3291","3536","0.125"
"4","2600","10","0.03","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","223","0","0","0.034999999999999996"
"9","2600","10","0.08","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","336","2095","4745","0.085"
"14","2600","10","0.13","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","204","2667","4202","0.135"
"12","2600","10","0.11","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","240","1641","5176","0.115"
"15","2600","10","0.14","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","183","2012","4803","0.14500000000000002"
"16","2600","10","0.15","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","172","3368","3480","0.155"
"11","2600","10","0.1","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","258","2890","3919","0.10500000000000001"
"10","2600","10","0.09","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","287","3141","3654","0.095"
"22","2600","10","0","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","49","0","0","0.005"
"18","2600","10","0.17","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","160","2486","4365","0.17500000000000002"
"19","2600","10","0.18","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","145","3573","3275","0.185"
"8","2600","10","0.07","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","382","2511","4289","0.07500000000000001"
"23","2600","10","0.01","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","70","0","0","0.015"
"7","2600","10","0.06","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","485","4","6790","0.065"
"20","2600","10","0.19","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","145","3811","2989","0.195"
"17","2600","10","0.16","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","164","3635","3155","0.165"
"24","2600","10","0.02","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","118","0","0","0.025"
"21","2600","10","0.2","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","136","3747","3105","0.20500000000000002"
"25","2600","10","0.03","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","149","0","0","0.034999999999999996"
"35","2600","10","0.13","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","203","3234","3569","0.135"
"6","2600","10","0.05","0","0","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","733","334","6485","0.055"
"33","2600","10","0.11","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","248","3139","3683","0.115"
"34","2600","10","0.12","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","220","3068","3729","0.125"
"31","2600","10","0.09","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","297","4852","1962","0.095"
"30","2600","10","0.08","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","350","2007","4799","0.085"
"32","2600","10","0.1","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","262","3062","3729","0.10500000000000001"
"36","2600","10","0.14","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","190","1714","5119","0.14500000000000002"
"29","2600","10","0.07","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","429","2023","4767","0.07500000000000001"
"43","2600","10","0","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","52","0","0","0.005"
"38","2600","10","0.16","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","168","2317","4530","0.165"
"40","2600","10","0.18","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","151","2386","4454","0.185"
"39","2600","10","0.17","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","157","3427","3429","0.17500000000000002"
"45","2600","10","0.02","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","90","0","0","0.025"
"44","2600","10","0.01","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","98","0","0","0.015"
"37","2600","10","0.15","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","176","1839","5014","0.155"
"41","2600","10","0.19","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","142","3257","3535","0.195"
"42","2600","10","0.2","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","139","2178","4684","0.20500000000000002"
"28","2600","10","0.06","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","565","2296","4540","0.065"
"46","2600","10","0.03","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","246","0","0","0.034999999999999996"
"52","2600","10","0.09","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","311","2389","4402","0.095"
"54","2600","10","0.11","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","250","810","6008","0.115"
"27","2600","10","0.05","0","200","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","968","1839","4960","0.055"
"55","2600","10","0.12","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","228","3440","3396","0.125"
"53","2600","10","0.1","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","281","2569","4240","0.10500000000000001"
"50","2600","10","0.07","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","449","3951","2839","0.07500000000000001"
"51","2600","10","0.08","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","367","5512","1318","0.085"
"49","2600","10","0.06","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","603","4496","2299","0.065"
"47","2600","10","0.04","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","603","0","0","0.045"
"56","2600","10","0.13","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","211","2156","4635","0.135"
"64","2600","10","0","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","41","0","0","0.005"
"59","2600","10","0.16","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","166","3964","2856","0.165"
"65","2600","10","0.01","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","52","0","0","0.015"
"58","2600","10","0.15","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","186","1336","5515","0.155"
"61","2600","10","0.18","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","156","1485","5375","0.185"
"57","2600","10","0.14","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","192","3729","3089","0.14500000000000002"
"63","2600","10","0.2","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","138","3463","3343","0.20500000000000002"
"60","2600","10","0.17","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","161","6195","667","0.17500000000000002"
"62","2600","10","0.19","0","400","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","145","2469","4353","0.195"
"66","2600","10","0.02","0","600","5","2000","200","0.5","0.6","false","100","25","45","0","10","10","98","0","0","0.025"
